"Action","Vendor GSL ID","Available To Ship Date (mm/dd/yyyy)","PO Number","PO Release Number","PO Line Number","PO Shipment Number","Item Number","Item Description","Total Quantity","Received Quantity","Open Quantity","Quantity Available To Ship","In Process Quantity","Need By Date (mm/dd/yyyy)","Promise Date (mm/dd/yyyy)","Destination Org","Unit Price Amount","Total Price","Currency Code","Buyer Name","Payment Term","Creation Date (mm/dd/yyyy)"
"NEW","S13010","10-19-2026","174549253","","1","1","41A326131P1","SPACER","120","","120","120","","11-04-2026","","PSM - Piedmont South Carolina","13.79","1654.8","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","01-27-2027","174549000","","1","1","8868241AAP16","Terminal 775/24","34","","34","34","","02-05-2027","","ECM-Erie Cab Manufacturing","15.42","524.28","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","11-09-2026","174548928","","1","1","84B108875P1","BUS BAR, 7"" X 4.25""","15","","15","15","","11-18-2026","","EKD-B12","33.96","509.4","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","10-16-2026","174548896","","1","1","84B526562AJP1","TERMINAL","3","","3","3","","10-27-2026","","EPM-B6","475.37","1426.11","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","10-16-2026","174548898","","1","1","84B526562AHP1","TERMINAL","3","","3","3","","10-27-2026","","EPM-B6","475.37","1426.11","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","01-20-2027","174548999","","1","1","8868241AAP16","Terminal 775/24","78","","78","78","","01-29-2027","","ECM-Erie Cab Manufacturing","15.42","1202.76","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","11-09-2026","174548929","","1","1","84B108876P1","BUS BAR, 7"" X 5.38""","21","","21","21","","11-18-2026","","EKD-B12","33.96","713.16","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","10-23-2026","174548897","","1","1","84B526562AGP1","T1 TERMINAL","5","","5","5","","11-03-2026","","EPM-B6","484.52","2422.6","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","10-30-2026","174548767","","1","1","84B108876P1","BUS BAR, 7"" X 5.38""","15","","15","15","","11-10-2026","","Z63 - Erie, PA","33.96","509.4","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","01-12-2027","174548736","","1","1","41A296332AJP1","Spring Asm","21","","21","21","","01-21-2027","","EEM-Erie Electronics Manufacturing","53.87","1131.27","USD","James Green","Net 150 Qrtly","05-06-2026"
